country_name,year,population
China,2020,"1,439,323,776"
Saudi Arabia,2020,"34,813,871"
Ghana,2020,"31,072,940"
Yemen,2020,"29,825,964"
Angola,2020,"32,866,272"
Uzbekistan,2020,"33,469,203"
Morocco,2020,"36,910,560"
Mozambique,2020,"31,255,435"
Peru,2020,"32,971,854"
Malaysia,2020,"32,365,999"
Poland,2020,"37,846,611"
Canada,2020,"37,742,154"
Afghanistan,2020,"38,928,346"
Iraq,2020,"40,222,493"
Ukraine,2020,"43,733,762"
Sudan,2020,"43,849,260"
Tokelau,2020,"1,357"
Holy See,2020,801
Falkland Islands,2020,"3,480"
Niue,2020,"1,626"
Montserrat,2020,"4,992"
Saint Barthelemy,2020,"9,877"
Saint Helena,2020,"6,077"
Saint Pierre & Miquelon,2020,"5,794"
Nauru,2020,"10,824"
Tuvalu,2020,"11,792"
Wallis & Futuna,2020,"11,239"
Anguilla,2020,"15,003"
Palau,2020,"18,094"
Caribbean Netherlands,2020,"26,223"
Cook Islands,2020,"17,564"
British Virgin Islands,2020,"30,231"
Gibraltar,2020,"33,691"
Saint Martin,2020,"38,666"
Turks and Caicos,2020,"38,717"
San Marino,2020,"33,931"
Liechtenstein,2020,"38,128"
Monaco,2020,"39,242"
Sint Maarten,2020,"42,876"
Faeroe Islands,2020,"48,863"
Northern Mariana Islands,2020,"57,559"
American Samoa,2020,"55,191"
Cayman Islands,2020,"65,722"
Saint Kitts & Nevis,2020,"53,199"
Marshall Islands,2020,"59,190"
Greenland,2020,"56,770"
Dominica,2020,"71,986"
Bermuda,2020,"62,278"
Andorra,2020,"77,265"
Isle of Man,2020,"85,033"
Antigua and Barbuda,2020,"97,929"
Tonga,2020,"105,695"
U.S. Virgin Islands,2020,"104,425"
Aruba,2020,"106,766"
St. Vincent & Grenadines,2020,"110,940"
Seychelles,2020,"98,347"
Grenada,2020,"112,523"
Curaçao,2020,"164,093"
Kiribati,2020,"119,449"
Channel Islands,2020,"173,863"
Sao Tome & Principe,2020,"219,159"
Samoa,2020,"198,414"
Guam,2020,"168,775"
Saint Lucia,2020,"183,627"
Mayotte,2020,"272,815"
French Polynesia,2020,"280,908"
New Caledonia,2020,"285,498"
Barbados,2020,"287,375"
Vanuatu,2020,"307,145"
Iceland,2020,"341,243"
French Guiana,2020,"298,682"
Martinique,2020,"375,265"
Bahamas,2020,"393,244"
Guadeloupe,2020,"400,124"
Belize,2020,"397,628"
Malta,2020,"441,543"
Brunei ,2020,"437,479"
Micronesia,2020,"548,914"
Cabo Verde,2020,"555,987"
Maldives,2020,"540,544"
Suriname,2020,"586,632"
Montenegro,2020,"628,066"
Luxembourg,2020,"625,978"
Solomon Islands,2020,"686,884"
Macao,2020,"649,335"
Western Sahara,2020,"597,339"
Guyana,2020,"786,552"
Bhutan,2020,"771,608"
Réunion,2020,"895,312"
Comoros,2020,"869,601"
Fiji,2020,"896,445"
Djibouti,2020,"988,000"
Timor-Leste,2020,"1,318,445"
Mauritius,2020,"1,271,768"
Cyprus,2020,"1,207,359"
Eswatini,2020,"1,160,164"
Estonia,2020,"1,326,535"
Bahrain,2020,"1,701,575"
Latvia,2020,"1,886,198"
Slovenia,2020,"2,078,938"
Equatorial Guinea,2020,"1,402,985"
North Macedonia,2020,"2,083,374"
Guinea-Bissau,2020,"1,968,001"
Trinidad and Tobago,2020,"1,399,488"
Lesotho,2020,"2,142,249"
Gabon,2020,"2,225,734"
Namibia,2020,"2,540,905"
Botswana,2020,"2,351,627"
Gambia,2020,"2,416,668"
Albania,2020,"2,877,797"
Puerto Rico,2020,"2,860,853"
Lithuania,2020,"2,722,289"
Qatar,2020,"2,881,053"
Uruguay,2020,"3,473,730"
Armenia,2020,"2,963,243"
Mongolia,2020,"3,278,290"
Bosnia and Herzegovina,2020,"3,280,819"
Georgia,2020,"3,989,167"
Jamaica,2020,"2,961,167"
Eritrea,2020,"3,546,421"
Moldova,2020,"4,033,963"
Kuwait,2020,"4,270,571"
Croatia,2020,"4,105,267"
Ireland,2020,"4,937,786"
New Zealand,2020,"4,822,233"
Mauritania,2020,"4,649,658"
Central African Republic,2020,"4,829,767"
Panama,2020,"4,314,767"
Costa Rica,2020,"5,094,118"
State of Palestine,2020,"5,101,414"
Liberia,2020,"5,057,681"
Oman,2020,"5,106,626"
Norway,2020,"5,421,241"
Slovakia,2020,"5,459,642"
Congo,2020,"5,518,087"
Finland,2020,"5,540,720"
Denmark,2020,"5,792,202"
Singapore,2020,"5,850,342"
Turkmenistan,2020,"6,031,200"
Kyrgyzstan,2020,"6,524,195"
Libya,2020,"6,871,292"
Nicaragua,2020,"6,624,554"
Lebanon,2020,"6,825,445"
El Salvador,2020,"6,486,205"
Bulgaria,2020,"6,948,445"
Paraguay,2020,"7,132,538"
Laos,2020,"7,275,560"
Togo,2020,"8,278,724"
Hong Kong,2020,"7,496,981"
Israel,2020,"8,655,535"
Sierra Leone,2020,"7,976,983"
Switzerland,2020,"8,654,622"
Serbia,2020,"8,737,371"
Papua New Guinea,2020,"8,947,024"
Austria,2020,"9,006,398"
Hungary,2020,"9,660,351"
Tajikistan,2020,"9,537,645"
Honduras,2020,"9,904,607"
United Arab Emirates,2020,"9,890,402"
Belarus,2020,"9,449,323"
Azerbaijan,2020,"10,139,177"
Sweden,2020,"10,099,265"
South Sudan,2020,"11,193,725"
Jordan,2020,"10,203,134"
Portugal,2020,"10,196,709"
Dominican Republic,2020,"10,847,910"
Greece,2020,"10,423,054"
Czech Republic (Czechia),2020,"10,708,981"
Haiti,2020,"11,402,528"
Tunisia,2020,"11,818,619"
Benin,2020,"12,123,200"
Rwanda,2020,"12,952,218"
Cuba,2020,"11,326,616"
Burundi,2020,"11,890,784"
Bolivia,2020,"11,673,021"
Belgium,2020,"11,589,623"
Cambodia,2020,"16,718,965"
Guinea,2020,"13,132,795"
Zimbabwe,2020,"14,862,924"
Somalia,2020,"15,893,222"
Chad,2020,"16,425,864"
Senegal,2020,"16,743,927"
Netherlands,2020,"17,134,872"
Syria,2020,"17,500,658"
Ecuador,2020,"17,643,054"
Guatemala,2020,"17,915,568"
Chile,2020,"19,116,201"
Malawi,2020,"19,129,952"
Kazakhstan,2020,"18,776,707"
Mali,2020,"20,250,833"
Romania,2020,"19,237,691"
Zambia,2020,"18,383,955"
Taiwan,2020,"23,816,775"
Burkina Faso,2020,"20,903,273"
Sri Lanka,2020,"21,413,249"
Côte d'Ivoire,2020,"26,378,274"
Cameroon,2020,"26,545,863"
